,PC1,seiseki...c.7..,,
1,0.009066026,37,,0.226072339
2,-0.523118661,56,,
3,-1.040770017,33,,
4,3.90526384,78,,
5,2.210045012,46,,
6,1.120320258,70,,
7,-0.822659506,33,,
8,0.462878035,53,,
9,-1.53878307,34,,
10,0.775366887,29,,
11,1.2845122,42,,
12,1.717037427,35,,
13,-0.254701135,36,,
14,-1.875753903,45,,
15,1.951445548,58,,
16,-2.558432445,2,,
17,-1.623309529,9,,
18,1.782170187,55,,
19,-3.532355008,18,,
20,-0.814435361,23,,
21,2.034011548,37,,
22,1.529863577,30,,
23,3.447184098,45,,
24,-2.045646926,11,,
25,-0.995592886,19,,
26,1.991932804,42,,
27,0.723892441,23,,
28,1.789191421,56,,
29,0.601186389,45,,
30,-0.983526237,26,,
31,-1.415338501,30,,
32,0.155097832,37,,
33,0.406534086,33,,
34,-0.468059041,38,,
35,-2.110262356,16,,
36,-0.131725136,49,,
37,2.726803924,36,,
38,1.437996941,62,,
39,3.939305843,54,,
40,1.044694075,46,,
41,-2.650527382,12,,
42,-0.154415527,19,,
43,1.847320259,7,,
44,-2.214234025,20,,
45,3.173770319,55,,
46,-0.64786155,40,,
47,-0.906787168,19,,
48,3.318360951,39,,
49,2.175864295,45,,
50,3.658880353,75,,
51,0.405492454,46,,
52,2.553363722,32,,
53,-1.391480714,19,,
54,-2.909166963,25,,
55,-0.90933422,55,,
56,-1.295404117,58,,
57,-0.699750362,32,,
58,-2.313088893,10,,
59,2.466625887,53,,
60,3.270265883,50,,
61,0.362057178,34,,
62,1.34503951,48,,
63,2.346428065,25,,
64,1.348457357,31,,
65,-0.334019985,17,,
66,0.103509796,32,,
67,-1.98001256,34,,
68,2.172718698,50,,
69,1.418674758,10,,
70,0.226658461,40,,
71,-2.301413996,11,,
72,-1.539067887,25,,
73,-1.775941774,14,,
74,-1.808468359,9,,
75,3.21232523,35,,
76,-2.170724067,16,,
77,0.114771856,37,,
78,-0.993615029,30,,
79,-1.22869729,11,,
80,0.130685846,96,,
81,-1.216271924,96,,
82,-0.869004286,65,,
83,3.387537978,86,,
84,-0.163801757,61,,
85,-1.64868443,76,,
86,-1.789547355,62,,
87,-0.820392398,81,,
88,-0.531037283,76,,
89,-1.855687417,65,,
90,-1.11723965,78,,
91,2.188338349,76,,
92,-0.074802031,91,,
93,-0.400316797,86,,
94,0.861296313,87,,
95,1.50848429,93,,
96,-0.105500253,76,,
97,3.144758045,95,,
98,-1.285515499,78,,
99,-1.683224338,87,,
100,-0.109349765,87,,
101,2.123305482,89,,
102,-1.679400476,77,,
103,-1.849692127,69,,
104,-2.001754264,78,,
105,-2.450011461,74,,
106,0.31425032,85,,
107,1.865272001,78,,
108,-2.78010643,63,,
109,-1.554189017,88,,
110,0.317747757,76,,
111,2.404882276,83,,
112,0.681068268,82,,
113,-0.057895228,75,,
114,-2.658032435,57,,
115,0.871649325,85,,
116,3.183172983,89,,
117,1.415005606,97,,
118,0.739100168,97,,
119,-2.057924458,74,,
120,-0.784975258,86,,
121,-0.544217257,79,,
122,1.364157476,76,,
123,0.925251467,96,,
124,-0.459902666,83,,
125,-3.283652771,43,,
126,-1.184533495,82,,
127,0.142153476,86,,
128,2.356246435,96,,
129,1.218995075,70,,
130,-0.802414699,99,,
131,2.041101899,82,,
132,-0.606081321,89,,
133,1.436143807,83,,
134,-3.554002678,37,,
135,-2.778574886,70,,
136,1.079644342,78,,
137,-1.21430824,64,,
138,0.013985389,69,,
139,0.971240232,86,,
140,-2.044590863,58,,
141,1.171462728,84,,
142,-1.051376543,88,,
143,-0.987941293,67,,
144,-0.978751718,77,,
145,-2.570759958,77,,
146,-1.384069117,85,,
147,-2.010859802,48,,
148,1.315414699,84,,
149,-0.257774221,75,,
150,-1.350954292,91,,
151,1.693112653,86,,
152,-2.665837481,62,,
153,-1.833441203,59,,
154,-2.631855422,53,,
155,2.477920852,91,,
156,3.458207419,91,,
157,-0.244028704,88,,
158,0.051031487,93,,
159,-1.83431891,91,,
160,0.818851502,95,,
161,-0.056054914,71,,
162,3.180871143,83,,
163,-3.775323295,42,,
164,-1.441295988,68,,
165,-0.225880168,82,,
166,2.85690731,81,,
